iter	Passed	Remaining
0	150	149938
1	150	75190
2	151	50267
3	151	37797
4	153	30482
5	155	25742
6	157	22281
7	157	19574
8	159	17585
9	161	15999
10	163	14695
11	165	13585
12	166	12648
13	167	11770
14	168	11033
15	169	10412
16	170	9853
17	171	9361
18	172	8917
19	174	8528
20	175	8171
21	176	7850
22	177	7552
23	178	7274
24	179	7012
25	181	6787
26	182	6559
27	183	6356
28	184	6162
29	185	5986
30	186	5815
31	186	5652
32	187	5501
33	188	5359
34	189	5219
35	190	5088
36	190	4966
37	191	4845
38	192	4735
39	192	4629
40	193	4525
41	194	4430
42	194	4338
43	195	4251
44	196	4166
45	196	4085
46	197	4005
47	198	3930
48	198	3857
49	199	3787
50	200	3724
51	200	3660
52	201	3599
53	202	3540
54	202	3479
55	203	3423
56	203	3369
57	204	3315
58	204	3264
59	205	3214
60	205	3166
61	206	3120
62	206	3076
63	207	3034
64	208	2992
65	208	2952
66	209	2912
67	209	2870
68	209	2832
69	210	2796
70	210	2760
71	211	2725
72	212	2693
73	212	2660
74	213	2629
75	213	2598
76	214	2569
77	214	2540
78	215	2511
79	216	2490
80	217	2462
81	217	2434
82	217	2407
83	218	2382
84	218	2356
85	219	2332
86	219	2307
87	220	2284
88	221	2262
89	221	2240
90	222	2220
91	222	2198
92	223	2177
93	223	2157
94	224	2137
95	224	2117
96	225	2100
97	226	2081
98	226	2063
99	227	2045
100	227	2028
101	228	2007
102	228	1990
103	229	1973
104	229	1956
105	230	1940
106	230	1924
107	231	1909
108	231	1894
109	232	1880
110	232	1865
111	233	1851
112	234	1837
113	234	1823
114	235	1808
115	235	1794
116	235	1780
117	236	1767
118	236	1753
119	237	1740
120	237	1728
121	238	1716
122	238	1702
123	239	1690
124	239	1678
125	240	1667
126	240	1656
127	241	1643
128	241	1632
129	242	1620
130	242	1609
131	243	1599
132	243	1589
133	244	1579
134	245	1569
135	245	1560
136	246	1550
137	246	1540
138	247	1530
139	247	1521
140	248	1511
141	248	1502
142	249	1493
143	249	1484
144	250	1475
145	250	1467
146	251	1458
147	251	1450
148	252	1441
149	252	1433
150	253	1424
151	253	1416
152	254	1408
153	254	1400
154	255	1392
155	255	1384
156	256	1377
157	257	1370
158	257	1363
159	258	1355
160	258	1348
161	259	1341
162	259	1333
163	260	1326
164	260	1319
165	261	1312
166	261	1305
167	262	1299
168	262	1293
169	263	1286
170	264	1280
171	264	1273
172	265	1267
173	265	1261
174	266	1254
175	266	1248
176	267	1242
