iter	Passed	Remaining
0	101	101145
1	102	50973
2	102	34190
3	103	25779
4	104	20716
5	104	17337
6	105	14917
7	105	13137
8	106	11746
9	107	10617
10	107	9690
11	108	8927
12	109	8282
13	110	7752
14	110	7278
15	111	6852
16	112	6478
17	112	6152
18	113	5852
19	114	5587
20	114	5341
21	115	5121
22	115	4919
23	116	4731
24	116	4559
25	117	4398
26	118	4263
27	118	4128
28	119	4002
29	120	3882
30	120	3770
31	121	3667
32	121	3568
33	122	3475
34	122	3388
35	123	3307
36	124	3231
37	124	3158
38	125	3088
39	125	3020
40	126	2957
41	126	2896
42	127	2839
43	128	2784
44	128	2729
45	129	2677
46	129	2628
47	130	2582
48	130	2539
49	131	2496
50	131	2455
51	132	2415
52	133	2379
53	133	2341
54	134	2306
55	134	2271
56	135	2238
57	135	2206
58	136	2176
59	136	2145
60	137	2115
61	138	2088
62	138	2059
63	139	2033
64	139	2007
65	140	1984
66	140	1961
67	141	1938
68	141	1915
69	142	1896
70	143	1875
71	143	1854
72	144	1833
73	145	1815
74	145	1797
75	146	1779
76	146	1761
77	147	1743
78	148	1725
79	148	1709
80	149	1693
81	149	1676
82	150	1657
83	150	1644
84	151	1628
85	151	1614
86	152	1598
87	152	1584
88	153	1569
89	153	1555
90	154	1541
91	154	1529
92	155	1516
93	156	1509
94	157	1497
95	157	1485
96	158	1472
97	158	1461
98	159	1449
99	159	1438
100	160	1427
101	160	1416
102	161	1406
103	162	1397
104	162	1387
105	163	1378
106	163	1368
107	164	1357
108	164	1348
109	165	1339
110	166	1329
111	166	1319
112	166	1310
113	167	1301
114	167	1292
115	168	1284
116	169	1276
117	169	1268
118	170	1260
119	170	1252
120	171	1245
121	171	1237
122	172	1231
123	173	1224
124	174	1218
125	174	1212
126	175	1205
127	175	1197
128	176	1191
129	177	1185
130	177	1178
131	178	1172
132	178	1165
133	179	1159
134	179	1153
135	180	1147
136	181	1141
137	181	1135
138	182	1128
139	182	1122
140	183	1116
141	183	1110
142	184	1104
143	184	1098
144	185	1092
145	185	1086
146	186	1081
147	187	1076
148	187	1071
149	188	1066
150	188	1060
151	189	1055
152	189	1050
153	190	1044
154	190	1039
155	191	1034
156	191	1029
157	192	1024
158	192	1019
159	193	1015
160	193	1010
161	194	1005
162	194	1000
163	195	996
164	196	991
165	196	987
166	197	982
167	197	978
168	198	973
169	198	969
170	199	967
171	200	962
172	200	958
173	201	954
174	201	950
175	202	946
176	202	942
177	203	938
178	203	934
179	204	929
180	204	925
181	205	922
182	205	918
183	206	914
184	206	910
185	207	906
186	207	903
187	208	899
188	209	896
189	209	893
190	210	890
191	210	887
192	211	884
193	212	880
194	212	877
195	213	874
196	213	870
197	214	867
198	214	864
199	215	860
200	215	857
201	216	854
202	216	850
203	217	847
204	217	845
205	218	842
206	218	838
207	219	836
208	220	832
209	220	829
210	221	826
211	221	823
212	222	820
213	222	817
214	223	814
215	223	811
216	224	809
217	224	806
218	225	803
219	225	800
220	226	798
221	226	795
222	227	792
223	227	789
224	228	786
225	228	783
226	229	781
227	229	778
228	230	775
229	230	773
230	231	770
231	232	768
232	232	765
233	233	763
234	233	760
235	234	758
236	235	756
237	235	754
238	237	754
239	237	752
240	238	750
241	238	748
242	239	745
243	239	743
244	240	741
245	241	738
246	241	736
247	241	733
248	242	731
249	243	729
250	243	727
251	244	725
252	244	722
253	245	720
254	245	718
255	246	716
256	246	713
257	247	711
258	248	709
259	248	707
260	249	705
261	250	704
262	250	702
